3421	138.701
4719	159.963
4884	164.863
4885	158.728
4889	159.329
4890	159.696
4894	163.288
4896	159.545
4901	164.212
5046	158.387
9952	131.612
10009	132.803
10020	130.715
10069	131.97
10136	130.991
10145	129.911
10204	132.358
10221	132.303
10294	133.263
10330	131.208
10352	134.151
10370	133.336
10394	133.365
10398	134.193
10413	132.393
10468	133.834
10495	132.736
10499	132.623
10527	133.518
10536	133.878
10567	134.211
10572	134.8
10587	134.289
10594	136.06
10618	136.67
10630	134.194
10644	135.236
10657	134.357
10664	136.883
10692	133.481
10740	138.457
10782	134.958
10783	139.749
10787	137.779
10796	139.128
10805	137.117
10822	136.923
10828	138.435
10831	136.091
10873	136.77
10894	139.45
10898	139.828
10907	137.602
10922	140.365
10940	139.734
10942	137.502
10961	140.376
10974	139.765
10981	138.918
10993	140.125
11072	141.287
11086	142.326
11098	142.583
11109	142.794
11121	141.307
11318	145.447
11324	145.849
11376	150.541
11444	145.502
11496	146.396
11507	146.061
11537	146.496
11550	159.299
11567	146.461
11570	147.673
11574	147.42
11584	146.729
11602	147.358
11604	148.294
11609	148.797
11611	149.927
11634	147.743
11636	148.768
11716	149.309
11717	149.761
11727	150.055
11757	150.291
11780	151.627
11781	152.13
11785	151.421
11790	151.446
11791	151.183
11800	152.527
11825	153.039
11829	151.798
11830	152.957
11832	153.143
11870	153.827
11879	153.733
11887	154.079
11898	153.951
11907	155.453
11933	154.311
11940	153.798
11946	153.694
11948	156.507
11949	157.707
11983	157.422
11985	155.806
12018	157.773
12051	157.364
12076	158.751
12078	159.793
12098	160.21
12108	160.911
12115	159.964
12116	159.527
12134	159.677
12136	160.571
12141	161.236
12145	161.979
12146	158.173
12154	159.827
12159	158.485
12174	161.361
12189	163.833
12202	161.173
12255	159.137
12259	160.526
12270	162.393
12300	164.601
12301	162.995
12325	165.473
12364	164.413
12365	164.102
12387	164.926
12396	164.651
12410	166.342
12424	164.928
12446	166.111
12462	164.007
12518	167.331
