3421	141.2	1.01
4719	157.9	0.32
4884	165	0.31
4885	164	0.28
4889	165.6	0.27
4890	163.5	0.29
4894	165.9	0.31
4896	163.5	0.33
4901	163.3	0.32
5046	162.1	0.26
9952	132.5	0.6
10009	132.8	0.42
10020	131.2	0.42
10069	134.4	0.28
10136	131.8	0.48
10145	131	1.01
10204	133.6	0.36
10221	133.2	0.36
10294	134.6	0.6
10330	132.5	0.42
10352	135.5	0.42
10370	134.8	0.32
10394	134.9	1.01
10398	135.3	0.42
10413	134.1	1.01
10468	135.2	0.48
10495	133.3	0.6
10499	133	0.48
10527	134.2	0.6
10536	134.7	0.6
10567	135.3	0.6
10572	135.6	0.42
10587	135.8	0.34
10594	137.6	0.36
10618	138.1	0.42
10630	134.8	1.01
10644	136.5	0.36
10657	135.8	0.33
10664	138.5	0.6
10692	135.1	0.6
10740	140	0.42
10782	136	0.32
10783	139	0.36
10787	139.3	0.31
10796	140.3	0.36
10805	138.3	0.33
10822	137.8	0.6
10828	139.2	0.36
10831	136.3	0.48
10873	138.4	0.48
10894	139.9	0.42
10898	141.1	0.42
10907	138.6	0.6
10922	141.1	0.42
10940	140.8	0.33
10942	138.8	0.48
10961	141.3	0.36
10974	141	0.33
10981	140.7	0.42
10993	141.3	0.34
11072	142.1	0.36
11086	142.4	0.42
11098	142.8	0.28
11109	142.5	0.42
11121	142.7	0.28
11318	146	0.6
11324	145.9	0.6
11376	151.1	0.42
11444	146.5	0.31
11496	147.2	0.36
11507	146.4	0.42
11537	146.2	0.48
11550	153.7	0.33
11567	146.8	0.29
11570	148.5	0.6
11574	147.1	0.29
11584	148	0.48
11602	147.3	0.29
11604	148.8	0.31
11609	149.2	0.36
11611	148.8	0.48
11634	148	1.01
11636	148.2	0.6
11716	150	0.3
11717	150.1	0.42
11727	149.8	0.42
11757	150.1	0.6
11780	150.6	0.36
11781	151.3	0.48
11785	150.5	0.28
11790	150.4	0.48
11791	150.8	0.42
11800	151.7	0.39
11825	151.9	0.33
11829	151.4	0.34
11830	151.8	0.34
11832	153.1	0.6
11870	153.3	0.34
11879	154	0.31
11887	154.3	0.6
11898	154.4	0.36
11907	155.2	0.42
11933	156	0.32
11940	156.2	0.3
11946	154.7	0.25
11948	156.9	0.32
11949	157.9	0.31
11983	157.3	0.33
11985	156.4	0.48
12018	158.7	0.33
12051	157.8	0.34
12076	159.2	0.39
12078	161	0.34
12098	163	0.28
12108	165.8	0.28
12115	160.6	0.28
12116	161.1	0.34
12134	159.8	0.28
12136	163.2	0.28
12141	165.7	0.28
12145	167.5	0.23
12146	158.6	0.48
12154	160.7	0.25
12159	159	0.34
12174	163.2	0.36
12189	167.2	0.28
12202	161.2	0.31
12255	160.5	0.31
12259	160.9	0.28
12270	168	0.29
12300	167.8	0.28
12301	163.4	0.42
12325	167.9	0.26
12364	168.2	0.22
12365	168.2	0.31
12387	167.9	0.25
12396	167.8	0.24
12410	168	0.26
12424	168.1	0.26
12446	168.5	0.27
12462	168.6	0.31
12518	168.6	0.24
