3421	0.018
4719	1.374
4884	2.702
4885	8.022
4889	7.997
4890	12.335
4894	3.93
4896	6.457
4901	8.152
5046	1.108
9952	0.003
10009	0.003
10020	0.002
10069	0.003
10136	0.004
10145	0.003
10204	0.001
10221	0.002
10294	0.003
10330	0.001
10352	0.003
10370	0.003
10394	0.004
10398	0.003
10413	0.003
10468	0.006
10495	0.002
10499	0.002
10527	0.003
10536	0.004
10567	0.005
10572	0.005
10587	0.004
10594	0.029
10618	0.023
10630	0.003
10644	0.006
10657	0.008
10664	0.032
10692	0.004
10740	0.081
10782	0.017
10783	0.046
10787	0.086
10796	0.085
10805	0.026
10822	0.024
10828	0.077
10831	0.047
10873	0.017
10894	0.068
10898	0.088
10907	0.042
10922	0.083
10940	0.053
10942	0.088
10961	0.063
10974	0.029
10981	0.111
10993	0.043
11072	0.037
11086	0.017
11098	0.013
11109	0.021
11121	0.033
11318	0.015
11324	0.014
11376	0.007
11444	0.022
11496	0.021
11507	0.048
11537	0.03
11550	0.029
11567	0.021
11570	0.204
11574	0.039
11584	0.117
11602	0.021
11604	0.208
11609	0.217
11611	0.029
11634	0.015
11636	0.07
11716	0.066
11717	0.063
11727	0.053
11757	0.098
11780	0.141
11781	0.091
11785	0.135
11790	0.112
11791	0.07
11800	0.202
11825	0.28
11829	0.048
11830	0.124
11832	0.242
11870	0.403
11879	0.603
11887	0.708
11898	0.821
11907	0.601
11933	0.79
11940	0.971
11946	0.101
11948	1.317
11949	2.071
11983	1.4
11985	0.626
12018	2.128
12051	2.876
12076	1.621
12078	1.277
12098	2.495
12108	5.085
12115	0.723
12116	1.425
12134	1.626
12136	0.938
12141	2.735
12145	13.107
12146	3.624
12154	0.73
12159	3.592
12174	1.258
12189	4.827
12202	0.81
12255	4.571
12259	3.54
12270	10.14
12300	9.621
12301	5.508
12325	6.853
12364	7.87
12365	13.184
12387	6.26
12396	7.496
12410	3.96
12424	5.111
12446	10.043
12462	15.507
12518	4.71
